Date,Open,High,Low,Close,Adj Close,Volume,log RO,log RH,log RL,log RC
9/17/1981,0.316964,0.316964,0.314732,0.314732,0.014214,4844000,-0.027780904,-0.027780904,-0.027975189,-0.027975189
9/18/1981,0.316964,0.319196,0.316964,0.316964,0.014315,6580000,0,0.007017131,0.00706672,0.00706672
9/21/1981,0.319196,0.321429,0.319196,0.319196,0.014416,12258400,0.007017131,0.006971345,0.007017131,0.007017131
9/22/1981,0.303571,0.303571,0.301339,0.301339,0.013609,11855200,-0.050189814,-0.057161159,-0.057569457,-0.057569457
9/23/1981,0.299107,0.299107,0.294643,0.294643,0.013307,7050400,-0.014814152,-0.014814152,-0.022471423,-0.022471423
9/24/1981,0.294643,0.294643,0.292411,0.292411,0.013206,4575200,-0.015036915,-0.015036915,-0.007604107,-0.007604107
9/25/1981,0.258929,0.258929,0.254464,0.254464,0.011492,8652000,-0.129210561,-0.129210561,-0.139000975,-0.139000975
9/28/1981,0.256696,0.258929,0.256696,0.256696,0.011593,22932000,-0.008661387,0,0.008733133,0.008733133
9/29/1981,0.270089,0.272321,0.270089,0.270089,0.012198,23671200,0.050859029,0.050427625,0.050859029,0.050859029
9/30/1981,0.272321,0.274554,0.272321,0.272321,0.012299,12499200,0.008229983,0.008166445,0.008229983,0.008229983
10/1/1981,0.272321,0.274554,0.272321,0.272321,0.012299,15282400,0,0,0,0
10/2/1981,0.294643,0.296875,0.294643,0.294643,0.013307,11261600,0.078782936,0.078163212,0.078782936,0.078782936
10/5/1981,0.303571,0.308036,0.303571,0.303571,0.01371,10774400,0.029851067,0.036905484,0.029851067,0.029851067
10/6/1981,0.303571,0.303571,0.301339,0.301339,0.013609,7089600,0,-0.014601139,-0.007379644,-0.007379644
10/7/1981,0.319196,0.323661,0.319196,0.319196,0.014416,9710400,0.050189814,0.064081151,0.057569457,0.057569457
10/8/1981,0.330357,0.332589,0.330357,0.330357,0.01492,7772800,0.034368554,0.027210822,0.034368554,0.034368554
10/9/1981,0.332589,0.337054,0.332589,0.332589,0.015021,13630400,0.006733606,0.013335661,0.006733606,0.006733606
10/12/1981,0.34375,0.345982,0.34375,0.34375,0.015525,6837600,0.033007156,0.026143596,0.033007156,0.033007156
10/13/1981,0.34375,0.348214,0.34375,0.34375,0.015525,11048800,0,0.006430483,0,0
10/14/1981,0.325893,0.325893,0.323661,0.323661,0.014617,7744800,-0.053345542,-0.066248127,-0.060217977,-0.060217977
10/15/1981,0.330357,0.332589,0.330357,0.330357,0.01492,7358400,0.013604781,0.020338387,0.020477216,0.020477216
10/16/1981,0.328125,0.328125,0.325893,0.325893,0.014718,9116800,-0.006779255,-0.01351286,-0.013604781,-0.013604781
10/19/1981,0.332589,0.334821,0.332589,0.332589,0.015021,5146400,0.01351286,0.020201427,0.020338387,0.020338387
10/20/1981,0.350446,0.352679,0.350446,0.350446,0.015827,8932000,0.052299136,0.051962234,0.052299136,0.052299136
10/21/1981,0.350446,0.352679,0.350446,0.350446,0.015827,19224800,0,0,0,0
10/22/1981,0.350446,0.350446,0.348214,0.348214,0.015726,8069600,0,-0.006351666,-0.006389396,-0.006389396
10/23/1981,0.341518,0.341518,0.339286,0.339286,0.015323,6977600,-0.025806243,-0.025806243,-0.025973824,-0.025973824
10/26/1981,0.339286,0.341518,0.339286,0.339286,0.015323,6820800,-0.006556977,0,0,0
10/27/1981,0.345982,0.350446,0.345982,0.345982,0.015626,21397600,0.019543341,0.025806243,0.019543341,0.019543341
10/28/1981,0.357143,0.359375,0.357143,0.357143,0.01613,11043200,0.031749511,0.025159783,0.031749511,0.031749511
10/29/1981,0.354911,0.354911,0.352679,0.352679,0.015928,7621600,-0.006269208,-0.012499358,-0.012577967,-0.012577967
10/30/1981,0.357143,0.359375,0.357143,0.357143,0.01613,13182400,0.006269208,0.012499358,0.012577967,0.012577967
11/2/1981,0.357143,0.359375,0.357143,0.357143,0.01613,9228800,0,0,0,0
11/3/1981,0.354911,0.354911,0.352679,0.352679,0.015928,7095200,-0.006269208,-0.012499358,-0.012577967,-0.012577967
11/4/1981,0.345982,0.345982,0.34375,0.34375,0.015525,5952800,-0.025480303,-0.025480303,-0.025643646,-0.025643646
11/5/1981,0.321429,0.321429,0.319196,0.319196,0.014416,5840800,-0.073610071,-0.073610071,-0.074109315,-0.074109315
11/6/1981,0.321429,0.323661,0.321429,0.321429,0.014517,6148800,0,0.006919992,0.006971345,0.006971345
